Closest Station,Train Line,Hotels Nearby?,Food Nearby?,Hotel Travel Direction,Total Km,Km Diff,Ukiyo-e,Stops Km,Day #,Rest,Stay,Date,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Marunouchi,JR,yes,yes,,0.0,,,,,,carry backpack to Shimbamba,4-Oct,,
Tokaido 01,,,,,,,0.0,,,,,,,
Shinbashi,JR,yes,yes,,2.5,2.5,,,,,,,Miles,Kilometers
Hamamatsucho,JR,yes,yes,,3.8,1.3,,,,,,,0.6,1
Tamachi,JR,yes,yes,,5.2,1.4,,,,,,,1.3,2
Takanawa,JR,no,yes,,6.6,1.4,,,,,,,1.9,3
Shinagawa,JR,yes,yes,,7.5,0.9,,,,,,,2.5,4
Tokaido 02,,,,,,,1.3,,,,,,3.1,5
Shimbamba,Keikyu,yes,yes,,8.8,1.3,,,,,,,3.8,6
Aomono Yokocho,Keikyu,no,yes,,9.9,1.1,,,,,,,4.4,7
Samezu,Keikyu,no,yes,,10.3,0.4,,,,,,,5.0,8
Tachiagawa,Keikyu,no,yes,,11.1,0.8,,,,,,,5.6,9
Omorikaigan,Keikyu,yes,yes,,12.5,1.4,,,,,,,6.3,10
Heiwajima,Keikyu,yes,yes,,13.7,1.2,,,,,,,6.9,11
Omorimachi,Keikyu,yes,yes,,14.5,0.8,,,,,,,7.5,12
Umeyashiki,Keikyu,no,yes,,15.2,0.7,,,,,,,8.1,13
Keikyu Kamata,Keikyu,yes,yes,,15.9,0.7,,,,,,,8.8,14
Zoshiki,Keikyu,no,yes,,17.5,1.6,,,,,,,9.4,15
Rokugodote,Keikyu,yes,yes,,18.6,1.1,,18.6,1,,Shimbamba,5-Oct,10.0,16
Tokaido 03,,,,,,,1.0,,,,,,10.6,17
Keikyu Kawasaki,Keikyu,yes,yes,,19.9,1.3,,,,,,,11.3,18
Hatchonawate,Keikyu,no,yes,,21.4,1.5,,,,,,,11.9,19
Tsurumi Ichiba,Keikyu,no,yes,,22.2,0.8,,,,,,,12.5,20
Keikyu Tsurumi,Keikyu,yes,yes,,23.7,1.5,,,,,,,13.1,21
Kokudo,JR,no,yes,,24.5,0.8,,,,,,,13.8,22
Namamugi,Keikyu,no,yes,,25.5,1.0,,,,,,,14.4,23
Keikyu Shin-Koyasu,Keikyu,yes,yes,,27.1,1.6,,,,,,,15.0,24
Koyasu,Keikyu,no,yes,,28.0,0.9,,,,,,,15.6,25
Kanagawa Shinmachi,Keikyu,no,yes,,28.6,0.6,,,,,,,16.3,26
Keikyu Higashi Kanagawa,Keikyu,no,yes,,29.2,0.6,,,,,,,16.9,27
Tokaido 04,,,,,,,0.6,,,,,,17.5,28
Kanagawa,Keikyu,yes,yes,,30.4,1.2,,,,,,,18.1,29
Yokohama,JR,yes,yes,,31.2,0.8,,,,,,,18.8,30
Tennocho,Sotetsu,no,yes,East 3,33.5,2.3,,,,,,,19.4,31
Hodogaya,JR,no,yes,,34.4,0.9,,15.8,2,,carry backpack to Yokohama,6-Oct,20.0,32
Tokaido 05,,,,,,,0.5,,,,,,,
Higashi Totsuka,JR,no,yes,,39.4,5.0,,,,,,,,
